Toll Name,Fee Effective Date,Ca/Jeep/Van,LCV,Bus Truck,Up To 3 Axle,Four To Six,HCM,Seven Or More,Revision Date
Rohad,01-Sep-20,65.00;95.00;1905.00;NA,110.00;165.00;3335.00;NA,220.00 ;335.00;6665.00;NA,355.00 ;535.00;10715.00;NA,355.00 ;535.00;10715.00;NA,355.00 ;535.00;10715.00;NA,355.00 ;535.00;10715.00;NA,
Madina Korsan,01-Apr-21,60.00;90.00;2055.00;30.00,100.00;150.00;3320.00;50.00,210.00 ;315.00;6955.00;105.00,230.00 ;340.00;7590.00;115.00,325.00 ;490.00;10910.00;165.00,325.00 ;490.00;10910.00;165.00,400.00 ;600.00;13280.00;200.00,
Sambhu(Ghaggar),01-Sep-20,75.00;115.00;2255.00;NA,130.00;195.00;3950.00;NA,265.00 ;395.00;7900.00;NA,425.00 ;635.00;12690.00;NA,425.00 ;635.00;12690.00;NA,425.00 ;635.00;12690.00;NA,425.00 ;635.00;12690.00;NA,
Ramayana,01-Apr-21,80.00;120.00;2630.00;40.00,130.00;190.00;4250.00;65.00,265.00 ;400.00;8910.00;135.00,290.00 ;435.00;9720.00;145.00,420.00 ;630.00;13970.00;210.00,420.00 ;630.00;13970.00;210.00,510.00 ;765.00;17005.00;255.00,
Ladowal,01-Sep-20,130.00;195.00;3935.00;NA,230.00;345.00;6885.00;NA,460.00 ;690.00;13775.00;NA,740.00 ;1105.00;22135.00;NA,740.00 ;1105.00;22135.00;NA,740.00 ;1105.00;22135.00;NA,740.00 ;1105.00;22135.00;NA,
Milk Majra,01-Apr-21,80.00;125.00;2750.00;40.00,135.00;200.00;4440.00;65.00,280.00 ;420.00;9305.00;140.00,305.00 ;455.00;10155.00;150.00,440.00 ;655.00;14595.00;220.00,440.00 ;655.00;14595.00;220.00,535.00 ;800.00;17770.00;265.00,
Kitlana,01-Apr-21,40.00;60.00;1290.00;20.00,65.00;95.00;2085.00;30.00,130.00 ;195.00;4365.00;65.00,145.00 ;215.00;4765.00;70.00,205.00 ;310.00;6845.00;105.00,205.00 ;310.00;6845.00;105.00,250.00 ;375.00;8335.00;125.00,
Gharaunda (Karnal),01-Sep-20,125.00;190.00;3760.00;NA,220.00;330.00;6580.00;NA,440.00 ;660.00;13165.00;NA,705.00 ;1060.00;21155.00;NA,705.00 ;1060.00;21155.00;NA,705.00 ;1060.00;21155.00;NA,705.00 ;1060.00;21155.00;NA,
Khuian Malkan,01-Apr-21,55.00;80.00;1800.00;25.00,85.00;130.00;2910.00;45.00,185.00 ;275.00;6100.00;90.00,200.00 ;300.00;6655.00;100.00,285.00 ;430.00;9565.00;145.00,285.00 ;430.00;9565.00;145.00,350.00 ;525.00;11645.00;175.00,
Jalouli,01-Mar-21,90.00;140.00;3070.00;45.00,150.00;225.00;4965.00;75.00,310.00 ;470.00;10400.00;155.00,340.00 ;510.00;11345.00;170.00,490.00 ;735.00;16305.00;245.00,490.00 ;735.00;16305.00;245.00,595.00 ;895.00;19850.00;300.00,
Dighal,01-Apr-21,45.00;70.00;1575.00;NA,75.00;115.00;2545.00;NA,160.00 ;240.00;5335.00;NA,250.00 ;375.00;8370.00;NA,250.00 ;375.00;8370.00;NA,250.00 ;375.00;8370.00;NA,305.00 ;460.00;10190.00;NA,
Landhari,01-Apr-21,80.00;120.00;2650.00;40.00,130.00;195.00;4280.00;65.00,270.00 ;405.00;8970.00;135.00,295.00 ;440.00;9785.00;145.00,420.00 ;635.00;14065.00;210.00,420.00 ;635.00;14065.00;210.00,515.00 ;770.00;17120.00;255.00,
Chaudhriwas,01-Apr-21,60.00;90.00;1980.00;30.00,95.00;145.00;3200.00;50.00,200.00 ;300.00;6705.00;100.00,220.00 ;330.00;7315.00;110.00,315.00 ;475.00;10510.00;155.00,315.00 ;475.00;10510.00;155.00,385.00 ;575.00;12795.00;190.00,
Makrauli Kalan,01-Apr-21,140.00;210.00;4640.00;NA,210.00;320.00;7060.00;NA,425.00 ;640.00;14175.00;NA,640.00 ;960.00;21345.00;NA,640.00 ;960.00;21345.00;NA,640.00 ;960.00;21345.00;NA,845.00 ;1265.00;28150.00;NA,
Ghulal,01-Apr-21,60.00;90.00;1990.00;30.00,95.00;145.00;3215.00;50.00,200.00 ;305.00;6730.00;100.00,220.00 ;330.00;7345.00;110.00,315.00 ;475.00;10560.00;160.00,315.00 ;475.00;10560.00;160.00,385.00 ;580.00;12855.00;195.00,
